Beschleunigen,EN,M14,,
Insidious Will,EN,KLD,,
Mysteriöse Ablehnung,DE,WOC,,
Suspend,EN,MH2,,
Polymorphist's Jest,EN,M15,,
Sublime Epiphany,EN,M21,,
Drown in Dreams,EN,M1C,,
Sudden Substitution,EN,C19,,
Mystic Confluence,EN,BBD,,
Ende der Geschichte,DE,M20,,
Pongify,EN,2XM,,
Fact or Fiction,EN,JVC,,
Rapid Hybridization,EN,GK2,,
Defabricate,EN,BRO,,
Kleiner Fehler,DE,ONE,,
Dissipate,EN,ISD,,
Jwari Disruption,EN,ZNR,,
Dispel,EN,BFZ,,
Foil,EN,UMA,,
Leadership Vacuum,EN,C19,,
Tolarianische Stürme,DE,USG,,
High Tide,EN,FEM,,
Stützen,DE,DMU,,
Mystic Reflection,EN,KHM,,
Swan Song,EN,THS,,
Commander's Insight,EN,C21,,
Ice Out,EN,PRM,,
Verwirrender Test,DE,WOC,,
Hastice Suche,DE,WOC,,
Fakt oder Fiktion,DE,WOC,,
Abwägen,DE,WOC,,
Schnipsen,DE,WOC,,
In den Zeiten wühlen,DE,WOC,,
Theoretische Duplikation,DE,WOC,,
List der Illusionisten,DE,WOC,,
Wache halten,DE,WOC,,
Zurückstoßen,DE,WOC,,
Realitätsverschiebung,DE,WOC,,
Zusammen durchbrennen,DE,WOC,,Blue done
Sida Kondo of Jamuraa,EN,C16,,
Migratory Route,EN,C16,,
"Kaya, unangreifbare Jägerin",DE,ONE,,
Grumgully der Großzügige,DE,CLB,,
Krydle von Baldus Tor,DE,AFR,,
Lachkasper Flint,DE,OTJ,,
"Izoni, Mittelpunkt des Netzes",DE,MKM,,
"Judith, Gemetzel-Genießerin",DE,MKM,,
"Kylox, visionärer Erfinder",DE,MKM,,
"Melek, neugeformter Forscher",DE,MKM,,
Ehrlicher Rutstein,DE,OTJ,,
Jhoira of the Ghitu,EN,DDS,,
"Jori En, Ruin Diver",EN,DDS,,
Baral und Kari Zev,DE,MOM,,
Rankel und Torbran,DE,MOM,,
"Zevior, Elturel-Verbannter",DE,CLB,,
Thantis die Kriegsweberin,DE,C18,,
"Radha, Heir to Keld",EN,DDS,,
Goblin Electromancer,EN,DDS,,
Goblin -Anarchomant,DE,MH2,,
Trygon Predator,C20,EN,,
"Kambal, Profiteering Mayor",EN,OTJ,,
"Wylie Duke, Atiin Hero",OTJ,EN,,
Katilda und Lier,DE,MOC,,
Xantcha die Schläferin,DE,C18,,
Saskia the Unyielding,EN,C16,,
"Admiral Brass, Unsinkable",EN,LCC,,
Fires of Yavimaya,EN,DDL,,
Miraris Nachwirkungen,DE,C17,,
Aura Shards,EN,CMD,,
Etchings of the Chosen,EN,MH1,,
Blutspurenanalyse,DE,MKM,,
Im Garten vergraben,DE,MKM,,
Kellan Joins Up,EN,OTJ,,
Annies Bandenbeitritt,DE,OTJ,,
Im Garten vergraben,DE,OTP,,
Merciless Eviction,EN,C16,,
Decimate,EN,C16,,
Geschmolzener Einsturz,DE,LCI,,
Time Wipe,EN,WAR,,
Hüllenbruch,DE,C13,,
Treacherous Terrain,EN,C16,,
Casualties of War,EN,WAR,,
Dune Blast,EN,C16,,
Eerie Ultimatum,EN,IKO,,
Emergent Ultimatum,EN,IKO,,
Wabernde Emergenz,DE,LCI,,
Pillage the Bog,EN,OTJ,,
Verbrechen / Sühne,DE,OTP,,
Savage Smash,EN,OTP,,
Hindering Light,EN,OTP,,
Izzet Charm,EN,RTR,,
Funkenraub,DE,CLB,,
Amulett aus Esper,DE,C18,,
Abzan Charm,EN,C16,,
Brokers-Amulett,DE,SNC,,
Cabaretti-Amulett,DE,SNC,,
Obscura-Amulett,DE,SNC,,
Amulett aus Bant,DE,C18,,
Naya Charm,EN,C19,,
Ancient Grudge,EN,MM3,,
Desperate Ravings,EN,ISD,,
Vanishing Verse,EN,STX,,
Growth Spiral,EN,STA,,
Utter End,EN,C16,,
Anguished Unmaking,EN,SOI,,
Mirrorweave,EN,C16,,
Signal für die Clans,DE,GTC,,
Tintenschild,DE,C21,,
Quandrix Command,EN,STX,,
Eladamri's Call,EN,MH1,,
Mit Stummheit schlagen,DE,GK2,,
Azorius Charm,EN,IMA,,
Dovins Veto,DE,WAR,,
Getreue Wiederherstellung,DE,MID,,
Congregation at Dawn,EN,RAV,,
Mortify,EN,RNA,,
Fracture,EN,STX,,
Boros-Amulett,DE,ONC,,
Auseinanderreißen,DE,ONC,Ende Multicolor,
